condition,mapping,split-screen,mechano-screen,in_stock_list,actual_exp_list
19-12-GAL4,19-12-gal4-control,,1,1,1
26259,,,,,
45873,,,,,
48877,,,,,
49766,,,,,
49828,,,,,
50377,,,,,
57618,,,,,
602023,,,,,
602566,,,,,
602572,,,,,
602999,,,,,
603021,,,,,
603217,,,,,
603218,,,,,
603766,,,,,
604176,,,,,
604181,,,,,
73947,,,,,
8769,,,,,
EMPTY-1,empty-gal4-control,,,,
EMPTY-2,empty-gal4-control,,,,
MB141B,,,,,
MB196C,,,,,
MB303B,,,,,
SPLIT-1,split-control,,,,
SPLIT-2,split-control,,,,
SS00671,,,,,
SS00918,,,,,
SS01378,,,,,
SS01417,,,,,
SS01645,,,,,
SS01650,,,,,
SS01696,,,,,
SS01705,,,,,
SS01716,,,,,
SS01717,,,,,
SS01724,,,,,
SS01725,,,,,
SS01726,,,,,
SS01732,,,,,
SS01740,,,,,
SS01745,,,,,
SS01757,,,,,
SS01762,,,,,
SS01776,,,,,
SS01777,,,,,
SS01943,,,,,
SS01973,,,,,
SS01978,,,,,
SS01984,,,,,
SS02130,,,,,
SS02149,,,,,
SS02180,,,,,
SS02401,,,,,
SS03731,,,,,
SS03767,,,,,
SS04047,,,,,
SS04068,,,,,
SS04230,,,,,
SS04330,,,,,
SS04497,,,,,
SS24027,,,,,
SS25232,,,,,
SS25755,,,,,
SS27197,,,,,
SS38042,,,,,
SS52511,,,,,
SS53257,,,,,
SS55086,,,,,
T13A06,ss38411,,,,
T15C07,,,,,
T17A8,,,,,
T1A1,,,,,
T2/C1,,,,,
T22A1,,,,,
T22A10,,,,,
T22A3,,,,,
T22A4,,,,,
T22A5,,,,,
T22A9,,,,,
T22B1,,,,,
T22B2,,,,,
T22B3,,,,,
T22B5,,,,,
T22B7,,,,,
T22B9,,,,,
T2B6,,,,,
T2C1,,,,,
T2C2,,,,,
T2C5,,,,,
T2C8,,,,,
T2C9,,,,,
T3A10,,,,,
T3A4,,,,,
T3B5,,,,,
T4A5,,,,,
T4A6,,,,,
T4B9,,,,,
T4C5,,,,,
T4C6,,,,,
T5A1,,,,,
T5B4,,,,,
T5B7,,,,,
T7A2,,,,,
T9C10,,,,,
control,,,,,
control-1,,,,,
control-2,,,,,